Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq4669,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4673,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4676,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4683,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4697,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4719,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4732,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4737,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4738,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4742,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4746,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4767,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4768,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4780,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4822,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4839,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4851,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4868,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4874,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4880,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4896,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4900,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4917,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4926,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4930,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4942,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4955,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
